"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","Hand","Last.Name","First.Name","Position","Team"
"345",832500,"94-02-18","Winchester","Canada","Canada",74,193,2012,"L","Koekkoek","Slater","D","T.B"
"349",5e+06,"83-11-01","North York","Canada","Canada",73,200,2003,"L","Moulson","Matt","LW","BUF"
"350",2500000,"91-01-03","Hamilton","Canada","Canada",70,180,2009,"R","Ellis","Ryan","D","NSH"
"351",6e+05,"89-04-07","Brampton","Canada","Canada",70,195,2007,"L","Terry","Chris","LW/RW","MTL"
"352",6e+05,"90-07-14","Burlington","Canada","Canada",73,197,NA,"R","Jooris","Josh","RW/C","ARI/NYR"
"353",1250000,"80-05-09","Edmonton","Canada","Canada",71,205,NA,"L","Fiddler","Vernon","C/LW","N.J/NSH"
"354",925000,"95-07-04","Georgetown","Canada","Canada",74,205,2013,"L","Dickinson","Jason","C","DAL"
"355",1750000,"82-07-20","St. Agapit","Canada","Canada",73,198,2000,"L","Vermette","Antoine","C/LW","ANA"
"357",2e+06,"85-08-12","Edmonton","Canada","Canada",72,195,NA,"L","Garbutt","Ryan","C/LW","ANA"
"359",3500000,"89-05-08","Windsor","Canada","Canada",75,220,2008,"L","Martin","Matt","LW/RW","TOR"
"362",3550000,"79-09-26","Regina","Canada","Canada",72,195,NA,"L","Kunitz","Chris","LW","PIT"
"363",832500,"94-05-30","Oakville","Canada","Canada",73,190,2012,"L","Laughton","Scott","C/LW","PHI"
"364",767500,"95-07-05","Langley","Canada","Canada",73,185,2014,"L","Heinen","Danton","C","BOS"
"365",875000,"93-07-01","Orangeville","Canada","Canada",75,215,2011,"R","Ritchie","Brett","RW","DAL"
"366",6e+06,"92-07-31","Vancouver","Canada","Canada",75,218,2010,"R","Johansen","Ryan","C/RW","NSH"
"367",6750000,"79-07-02","London","Canada","Canada",76,220,1997,"L","Thornton","Joe","C","S.J"
"369",2700000,"83-10-09","Toronto","Canada","Canada",71,195,2002,"L","Daley","Trevor","D","PIT"
"371",4750000,"86-09-07","Judique","Canada","Canada",73,204,2006,"L","MacDonald","Andrew","D","PHI"
"374",832500,"95-04-26","St-Lin","Canada","Canada",77,235,2013,"L","Gauthier","Frederik","C","TOR"
"375",6e+06,"92-01-31","Brampton","Canada","Canada",73,200,2010,"R","Seguin","Tyler","C/RW","DAL"
"376",2825000,"93-09-27","Regina","Canada","Canada",73,211,2012,"L","Murray","Ryan","D","CBJ"
"378",6e+05,"91-06-08","Keswick","Canada","Canada",72,193,NA,"L","Hanley","Joel","D","MTL"
"380",7e+06,"84-01-19","Edmonton","Canada","Canada",74,227,2002,"R","Boychuk","Johnny","D","NYI"
"381",874125,"93-04-04","Hamilton","Canada","Canada",75,205,NA,"L","Gaudet","Tyler","C","ARI"
"382",1e+06,"89-06-23","Garden River, First Nations","Canada","Canada",75,219,2009,"L","Nolan","Jordan","C/LW/RW","L.A"
"384",1100000,"89-07-12","Ottawa","Canada","Canada",73,216,2008,"L","Borowiecki","Mark","D","OTT"
"385",925000,"97-03-07","Mississauga","Canada","Canada",75,185,2015,"L","Strome","Dylan","C","ARI"
"386",6e+05,"85-07-15","Prince Albert","Canada","Canada",75,220,2004,"R","Cracknell","Adam","RW/C","DAL"
"387",4e+06,"89-02-21","Woodstock","Canada","Canada",75,216,2007,"L","Muzzin","Jake","D","L.A"
"388",1800000,"85-03-06","Toronto","Canada","Canada",74,206,2004,"L","Winnik","Daniel","LW/C","WSH"
"392",1500000,"91-01-24","Windsor","Canada","Canada",75,207,2009,"R","Kassian","Zack","RW","EDM"
"394",832500,"95-04-05","London","Canada","Canada",72,223,2013,"L","Horvat","Bo","C","VAN"
"398",725000,"96-12-14","Joliette","Canada","Canada",75,204,2015,"L","Greer","A.J.","LW","COL"
"402",8e+05,"92-04-20","Winnipeg","Canada","Canada",77,236,2010,"R","McIlrath","Dylan","D","FLA/NYR"
"404",4500000,"86-03-19","Regina","Canada","Canada",73,195,NA,"R","Bozak","Tyler","C","TOR"
"406",2250000,"89-02-08","Calgary","Canada","Canada",72,189,2007,"L","Hickey","Thomas","D","NYI"
"407",575000,"90-03-19","Sudbury","Canada","Canada",73,210,2008,"L","Gaunce","Cameron","D","PIT"
"411",575000,"89-05-10","Grand Prairie","Canada","Canada",74,200,NA,"R","Rowney","Carter","RW/C","PIT"
"413",8e+05,"90-03-23","Montreal","Canada","Canada",73,207,2008,"L","Barberio","Mark","D","COL/MTL"
"414",925000,"94-04-11","Brantford","Canada","Canada",72,192,2014,"R","Montour","Brandon","D","ANA"
"415",3900000,"84-08-14","Kelowna","Canada","Canada",73,204,NA,"L","Gorges","Josh","D","BUF"
"416",575000,"85-02-08","Ottawa","Canada","Canada",73,195,NA,"L","Smith","Trevor","C/RW","NSH"
"417",7500000,"85-04-10","Edmonton","Canada","Canada",75,219,2003,"L","Phaneuf","Dion","D","OTT"
"418",575000,"87-09-01","Toronto","Canada","Canada",71,180,NA,"L","Zolnierczyk","Harry","LW","NSH"
"420",5600000,"83-09-27","Edmonton","Canada","Canada",76,221,2002,"L","Bouwmeester","Jay","D","STL"
"426",3250000,"81-10-04","Cobourg","Canada","Canada",73,188,2000,"R","Williams","Justin","RW","WSH"
"427",1100000,"83-03-02","Kingston","Canada","Canada",73,205,2001,"L","McClement","Jay","C","CAR"
"428",575000,"89-12-14","Burlington","Canada","Canada",68,180,NA,"L","Conacher","Cory","C/LW","T.B"
"429",2750000,"88-08-05","Winnipeg","Canada","Canada",74,206,2008,"R","Weise","Dale","RW","PHI"
"430",775000,"91-02-22","LaSalle","Canada","Canada",73,216,2009,"L","Deslauriers","Nicolas","LW","BUF"
"431",715000,"94-07-18","Markham","Canada","Canada",72,200,2012,"L","Blandisi","Joseph","LW/C","N.J"
"433",2200000,"89-12-24","Brandon","Canada","Canada",71,188,2008,"L","Calvert","Matt","LW","CBJ"
"434",1e+06,"92-12-05","Strathroy","Canada","Canada",74,205,2011,"L","Beaulieu","Nathan","D","MTL"
"435",1300000,"91-01-14","Toronto","Canada","Canada",74,200,2009,"L","Holland","Peter","C","ARI/TOR"
"436",1100000,"87-07-26","Victoria","Canada","Canada",74,200,NA,"L","Benn","Jordie","D","DAL/MTL"
"437",4875000,"90-08-16","St. Malo","Canada","Canada",74,205,2008,"R","Hamonic","Travis","D","NYI"
"440",925000,"93-04-20","Brockville","Canada","Canada",74,207,2012,"L","Hutton","Ben","D","VAN"
"443",9e+05,"80-08-03","Thornhill","Canada","Canada",72,192,2000,"L","Moore","Dominic","C/LW","BOS"
"445",1250000,"85-08-12","Kitchener","Canada","Canada",74,216,2003,"L","Quincey","Kyle","D","CBJ/N.J"
"447",635000,"93-01-16","Brampton","Canada","Canada",75,205,2012,"L","Thomson","Ben","LW","N.J"
"452",4300000,"88-08-26","Scarborough","Canada","Canada",74,185,2007,"R","Simmonds","Wayne","RW/LW","PHI"
"454",832500,"94-01-16","Estevan","Canada","Canada",72,208,2012,"L","Pouliot","Derrick","D","PIT"
"455",4e+06,"81-06-16","Grimsby","Canada","Canada",73,200,2001,"R","Bieksa","Kevin","D","ANA"
"456",8750000,"85-07-24","Ancienne-Lorette","Canada","Canada",73,195,2003,"R","Bergeron","Patrice","C","BOS"
"457",5500000,"88-06-09","Dorval","Canada","Canada",73,200,2008,"R","Demers","Jason","D","FLA"
"458",1125000,"87-01-20","Winnipeg","Canada","Canada",73,225,2005,"R","Reaves","Ryan","RW","STL"
"459",1050000,"89-03-18","Thunder Bay","Canada","Canada",76,221,2007,"R","Bortuzzo","Robert","D","STL"
"462",5e+06,"95-09-01","Halifax","Canada","Canada",72,205,2013,"R","MacKinnon","Nathan","C/RW","COL"
"464",4500000,"80-06-04","Sorel","Canada","Canada",73,208,1998,"L","Beauchemin","Francois","D","COL"
"465",950000,"88-04-14","Saskatoon","Canada","Canada",76,225,2006,"R","Gryba","Eric","D","EDM"
"466",1100000,"92-11-11","Ottawa","Canada","Canada",70,180,2011,"R","Pageau","Jean-Gabriel","C","OTT"
"467",595000,"93-05-01","Bromont","Canada","Canada",72,179,NA,"R","Gaudreau","Frederick","C","NSH"
"468",4500000,"85-08-17","Vancouver","Canada","Canada",75,215,2004,"R","Brouwer","Troy","RW","CGY"
"469",1250000,"83-03-24","Hull","Canada","Canada",72,200,2001,"R","Parenteau","PA","RW","N.J/NSH"
"471",925000,"94-08-16","Toronto","Canada","Canada",75,210,2012,"L","Pelech","Adam","D","NYI"
"472",4838000,"90-06-07","Chatham","Canada","Canada",73,182,2008,"L","Brodie","T.J.","D","CGY"
"473",750000,"90-12-27","Cap-Rouge","Canada","Canada",69,174,NA,"R","Marchessault","Jonathan","C","FLA"
"478",650000,"94-01-14","Toronto","Canada","Canada",72,185,2012,"R","Brown","Connor","RW","TOR"
"479",4500000,"90-02-06","Brantford","Canada","Canada",72,195,2008,"L","Henrique","Adam","C","N.J"
"480",8e+05,"94-02-02","Fergus","Canada","Canada",72,185,2012,"L","McGinn","Brock","LW","CAR"
"484",925000,"94-02-27","Pointe-Claire","Canada","Canada",74,192,2012,"L","Matheson","Michael","D","FLA"
"485",6e+05,"92-07-25","Campbellville","Canada","Canada",72,186,NA,"L","Sgarbossa","Michael","C","ANA/FLA"
"486",832500,"95-02-02","Salmon Arm","Canada","Canada",72,209,2013,"R","Lazar","Curtis","C/RW","CGY/OTT"
"487",575000,"89-02-16","Toronto","Canada","Canada",70,203,NA,"L","Liambas","Mike","LW","NSH"
"488",3500000,"90-10-22","St. Hyacinthe","Canada","Canada",74,227,2009,"R","Savard","David","D","CBJ"
"490",875000,"93-02-24","Victoriaville","Canada","Canada",73,193,2011,"L","Danault","Phillip","LW/C","MTL"
"492",575000,"90-10-06","Ville Degelis","Canada","Canada",70,190,2009,"R","Dumont","Gabriel","C","T.B"
"494",1250000,"92-01-11","Sherwood Park","Canada","Canada",73,200,2010,"R","Pysyk","Mark","D","FLA"
"497",13800000,"88-04-29","Winnipeg","Canada","Canada",74,201,2006,"L","Toews","Jonathan","C","CHI"
"498",8e+06,"85-12-12","Maple Ridge","Canada","Canada",75,200,2004,"L","Ladd","Andrew","LW","NYI"
"500",925000,"97-05-05","Markham","Canada","Canada",72,170,2015,"R","Marner","Mitchell","C/RW","TOR"
"501",6e+05,"93-03-26","Toronto","Canada","Canada",72,205,2011,"R","Corrado","Frank","D","PIT/TOR"
"503",2750000,"84-12-13","Kitchener","Canada","Canada",73,206,2003,"R","Klein","Kevin","D","NYR"
"506",575000,"87-11-29","Victoria","Canada","Canada",73,207,NA,"L","Irwin","Matt","D","NSH"
"507",2250000,"82-08-25","Strasbourg","Canada","Canada",73,203,2000,"L","Schultz","Nick","D","PHI"
"509",6e+05,"94-08-07","Melville","Canada","Canada",74,205,2012,"R","Severson","Damon","D","N.J"
"511",4e+06,"88-06-07","Windsor","Canada","Canada",72,203,2006,"L","Beleskey","Matt","LW","BOS"
