"","name","birthYear","birthDate","gender","birthplace","dates"
"37","Frank Carson (ice hockey)","1902-01-01T00:00:00+02:00","1902-01-12","male","{Ontario|Bracebridge Ontario|Canada}",1902-01-12
"38","Nels Stewart","1902-01-01T00:00:00+02:00","1902-12-29","male","{Canada|Montreal|Quebec}",1902-12-29
"39","Howie Morenz","1902-01-01T00:00:00+02:00","1902-09-21","male","{Ontario|Canada|Mitchell Ontario}",1902-09-21
"40","Hubert Davidson","1902-01-01T00:00:00+02:00","1902-06-08","male","{Saskatchewan|Canada|Indian Head Saskatchewan}",1902-06-08
"41","Johnny McKinnon","1902-01-01T00:00:00+02:00","1902-07-15","male","{Nova Scotia|Guysborough Nova Scotia|Canada}",1902-07-15
"42","Tiny Thompson","1903-01-01T00:00:00+02:00","1903-05-31","male","{British Columbia|Sandon British Columbia|Canada}",1903-05-31
"43","Ganton Scott","1903-01-01T00:00:00+02:00","1903-03-23","male","{Ontario|Toronto|Canada}",1903-03-23
"44","Doug Brennan","1903-01-01T00:00:00+02:00","1903-01-10","male","{Ontario|Canada|Peterborough Ontario}",1903-01-10
"45","Archie Wilcox","1903-01-01T00:00:00+02:00","1903-05-05","","{Canada|Montreal|Quebec}",1903-05-05
"46","Bun Cook","1903-01-01T00:00:00+02:00","1903-09-18","male","{Ontario|Canada|Kingston Ontario}",1903-09-18
"47","Leo Bourgeault","1903-01-01T00:00:00+02:00","1903-01-17","male","{Ontario|West Nipissing|Canada}",1903-01-17
"48","Frank Finnigan","1903-01-01T00:00:00+02:00","1903-07-09","male","{Canada|Quebec|Shawville Quebec}",1903-07-09
"49","Nick Wasnie","1903-01-01T00:00:00+02:00","1903-01-28","male","{Manitoba|Winnipeg|Canada}",1903-01-28
"50","Hooley Smith","1903-01-01T00:00:00+02:00","1903-01-07","male","{Ontario|Toronto|Canada}",1903-01-07
"51","Ace Bailey","1903-01-01T00:00:00+02:00","1903-07-03","","{Ontario|Bracebridge Ontario|Canada}",1903-07-03
"52","Werner Schnarr","1903-01-01T00:00:00+02:00","1903-03-23","male","{Ontario|Kitchener Ontario|Canada}",1903-03-23
"53","King Clancy","1903-01-01T00:00:00+02:00","1903-02-25","male","{Ontario|Ottawa|Canada}",1903-02-25
"54","Jack McVicar","1904-01-01T00:00:00+02:00","1904-06-04","male","{Ontario|Renfrew Ontario|Canada}",1904-06-04
"55","Stewart Adams","1904-01-01T00:00:00+02:00","1904-09-16","","{Alberta|Canada|Calgary}",1904-09-16
"56","Harry Connor","1904-01-01T00:00:00+02:00","1904-12-03","male","{Ontario|Ottawa|Canada}",1904-12-03
"57","Henry Maracle","1904-01-01T00:00:00+02:00","1904-09-08","male","{Ontario|Ayr Ontario|Canada}",1904-09-08
"58","Dutch Gainor","1904-01-01T00:00:00+02:00","1904-04-10","male","{Alberta|Canada|Calgary}",1904-04-10
"59","Babe Siebert","1904-01-01T00:00:00+02:00","1904-01-14","","{Ontario|Blandford-Blenheim|Canada}",1904-01-14
"60","Red Conn","1904-01-01T00:00:00+02:00","1904-10-25","male","{Manitoba|Hartney Manitoba|Canada}",1904-10-25
"61","René Boileau (ice hockey)","1904-01-01T00:00:00+02:00","1904-05-18","","{Pointe-Claire|Canada|Quebec}",1904-05-18
"62","Rennison Manners","1904-01-01T00:00:00+02:00","1904-02-05","","{Ontario|Ottawa|Canada}",1904-02-05
"63","Alfie Moore","1904-01-01T00:00:00+02:00","1904-12-01","male","{Ontario|Toronto|Canada}",1904-12-01
"64","Robert Boucher","1904-01-01T00:00:00+02:00","1904-02-14","male","{Ontario|Ottawa|Canada}",1904-02-14
"65","George Horne (ice hockey)","1904-01-01T00:00:00+02:00","1904-06-27","male","{Ontario|Canada|Greater Sudbury}",1904-06-27
"66","Murray Murdoch","1904-01-01T00:00:00+02:00","1904-05-19","male","{Ontario|Canada|Lucknow Ontario}",1904-05-19
"67","Marvin Wentworth","1904-01-01T00:00:00+02:00","1904-01-24","male","{Ontario|Grimsby Ontario|Canada}",1904-01-24
"68","Max Sutherland (ice hockey)","1904-01-01T00:00:00+02:00","1904-04-03","male","{Saskatchewan|Grenfell Saskatchewan|Canada}",1904-04-03
"69","Hobie Kitchen","1904-01-01T00:00:00+02:00","1904-02-08","male","{Ontario|Newmarket Ontario|Canada}",1904-02-08
"70","Abbie Cox","1904-01-01T00:00:00+02:00","1904-07-19","male","{Ontario|London Ontario|Canada}",1904-07-19
"71","Cooney Weiland","1904-01-01T00:00:00+02:00","1904-11-05","male","{Ontario|Seaforth Ontario|Canada}",1904-11-05
"72","Paul Goodman (ice hockey)","1905-01-01T00:00:00+02:00","1905-02-25","","{Manitoba|Canada|Selkirk Manitoba}",1905-02-25
"73","Roger Cormier","1905-01-01T00:00:00+02:00","1905-03-23","","{Canada|Montreal|Quebec}",1905-03-23
"74","Rosario Couture","1905-01-01T00:00:00+02:00","1905-07-24","male","{Manitoba|Saint Boniface Winnipeg|Canada}",1905-07-24
"75","Russell Oatman","1905-01-01T00:00:00+02:00","1905-02-19","","{Ontario|Tillsonburg|Canada}",1905-02-19
"76","Henry Harris (ice hockey)","1905-01-01T00:00:00+02:00","1905-04-28","male","{Ontario|Kenora|Canada}",1905-04-28
"77","Larry Aurie","1905-01-01T00:00:00+02:00","1905-02-08","","{Ontario|Canada|Greater Sudbury}",1905-02-08
"78","Earl Miller (ice hockey)","1905-01-01T00:00:00+02:00","1905-09-12","male","{Saskatchewan|Regina Saskatchewan|Canada}",1905-09-12
"79","Bobby Burns (ice hockey)","1905-01-01T00:00:00+02:00","1905-04-04","","{Ontario|Gore Bay Ontario|Canada}",1905-04-04
"80","Farrand Gillie","1905-01-01T00:00:00+02:00","1905-05-11","","{Ontario|Cornwall Ontario|Canada}",1905-05-11
"81","Frank Ingram","1905-01-01T00:00:00+02:00","1905-09-17","","{Saskatchewan|Craven Saskatchewan|Canada}",1905-09-17
"82","Frank Sheppard","1905-01-01T00:00:00+02:00","1905-10-19","male","{Canada|Montreal|Quebec}",1905-10-19
"83","Frank Steele","1905-01-01T00:00:00+02:00","1905-03-09","male","{Ontario|Niagara Falls Ontario|Canada}",1905-03-09
"84","Marty Barry","1905-01-01T00:00:00+02:00","1905-12-08","male","{Quebec City|Canada|Quebec}",1905-12-08
"85","Marty Burke","1905-01-01T00:00:00+02:00","1905-01-28","male","{Ontario|Toronto|Canada}",1905-01-28
"86","Gene Carrigan","1906-01-01T00:00:00+02:00","1906-07-05","male","{Alberta|Edmonton|Canada}",1906-07-05
"87","Paul Thompson (ice hockey b. 1906)","1906-01-01T00:00:00+02:00","1906-11-02","male","{Alberta|Canada|Calgary}",1906-11-02
"88","Percy Jackson (ice hockey)","1906-01-01T00:00:00+02:00","1906-09-21","male","{Alberta|Canmore Alberta|Canada}",1906-09-21
"89","Herbie Lewis (ice hockey)","1906-01-01T00:00:00+02:00","1906-04-17","male","{Alberta|Canada|Calgary}",1906-04-17
"90","Ebbie Goodfellow","1906-01-01T00:00:00+02:00","1906-04-09","","{Ontario|Ottawa|Canada}",1906-04-09
"91","Joe Primeau","1906-01-01T00:00:00+02:00","1906-01-29","","{Ontario|Lindsay Ontario|Canada}",1906-01-29
"92","Al Murray (ice hockey)","1906-01-01T00:00:00+02:00","1906-11-10","male","{Ontario|Canada|Stratford Ontario}",1906-11-10
"93","Dave Trottier","1906-01-01T00:00:00+02:00","1906-06-25","male","{Ontario|Toronto|Canada}",1906-06-25
"94","Gerry Lowrey","1906-01-01T00:00:00+02:00","1906-02-14","male","{Ontario|Ottawa|Canada}",1906-02-14
"95","Bert Burry","1906-01-01T00:00:00+02:00","1906-02-07","male","{Ontario|Toronto|Canada}",1906-02-07
"96","Vic Ripley","1906-01-01T00:00:00+02:00","1906-05-30","male","{Ontario|Rideau Lakes Ontario|Canada}",1906-05-30
"97","Jimmy Ward","1906-01-01T00:00:00+02:00","1906-09-01","","{Ontario|Canada|Fort William Ontario}",1906-09-01
"98","Melville Vail","1906-01-01T00:00:00+02:00","1906-07-05","male","{Ontario|Canada|Meaford Ontario}",1906-07-05
"99","Ernest Kenny","1907-01-01T00:00:00+02:00","1907-08-20","male","{Alberta|Canada|Vermilion Alberta}",1907-08-20
"100","Gord Brydson","1907-01-01T00:00:00+02:00","1907-01-03","male","{Ontario|Toronto|Canada}",1907-01-03
"101","Yip Foster","1907-01-01T00:00:00+02:00","1907-11-25","","{Ontario|Guelph|Canada}",1907-11-25
"102","Dit Clapper","1907-01-01T00:00:00+02:00","1907-02-09","","{Ontario|Newmarket Ontario|Canada}",1907-02-09
"103","Don McFadyen","1907-01-01T00:00:00+02:00","1907-03-24","male","{Alberta|Canada|Crossfield Alberta}",1907-03-24
"104","Hec Kilrea","1907-01-01T00:00:00+02:00","1907-06-11","male","{Ontario|Blackburn Hamlet|Canada}",1907-06-11
"105","Earl Robinson (ice hockey)","1907-01-01T00:00:00+02:00","1907-03-11","","{Canada|Montreal|Quebec}",1907-03-11
"106","Art Alexandre","1907-01-01T00:00:00+02:00","1907-03-02","male","{Saint-Jean-sur-Richelieu|Canada|Quebec}",1907-03-02
"107","Georges Mantha","1907-01-01T00:00:00+02:00","1907-11-29","","{Lachine Quebec|Canada|Quebec}",1907-11-29
"108","Bud Jarvis","1907-01-01T00:00:00+02:00","1907-12-07","male","{Ontario|Canada|Fort William Ontario}",1907-12-07
"109","Walter Buswell","1907-01-01T00:00:00+02:00","1907-11-06","","{Canada|Montreal|Quebec}",1907-11-06
"110","Allan Shields","1907-01-01T00:00:00+02:00","1907-05-10","","{Ontario|Ottawa|Canada}",1907-05-10
"111","Sammy Godin","1907-01-01T00:00:00+02:00","1907-09-20","male","{Ontario|Canada|Rockland Ontario}",1907-09-20
"112","Doug Young (ice hockey)","1908-01-01T00:00:00+02:00","1908-10-01","","{Alberta|Medicine Hat|Canada}",1908-10-01
"113","Ron Lyons","1908-01-01T00:00:00+02:00","1908-02-15","male","{Manitoba|Portage la Prairie|Canada}",1908-02-15
"114","Stan McCabe (ice hockey)","1908-01-01T00:00:00+02:00","1908-06-16","","{Ontario|Ottawa|Canada}",1908-06-16
"115","Lawrence Northcott","1908-01-01T00:00:00+02:00","1908-09-07","","{Alberta|Canada|Calgary}",1908-09-07
"116","Art Giroux","1908-01-01T00:00:00+02:00","1908-06-06","male","{Alberta|Strathmore Alberta|Canada}",1908-06-06
"117","Mush March","1908-01-01T00:00:00+02:00","1908-10-18","male","{Saskatchewan|Silton Saskatchewan|Canada}",1908-10-18
"118","Benny Grant","1908-01-01T00:00:00+02:00","1908-07-14","","{Ontario|Owen Sound|Canada}",1908-07-14
"119","Walter Monson","1908-01-01T00:00:00+02:00","1908-11-29","male","{Manitoba|Winnipeg|Canada}",1908-11-29
"120","Andy Blair (ice hockey)","1908-01-01T00:00:00+02:00","1908-02-27","","{Manitoba|Winnipeg|Canada}",1908-02-27
"121","Lloyd McIntyre","1908-01-01T00:00:00+02:00","1908-05-13","male","{New Brunswick|Canada|Chatham New Brunswick}",1908-05-13
"122","Normie Smith","1908-01-01T00:00:00+02:00","1908-03-18","","{Ontario|Toronto|Canada}",1908-03-18
"123","Wilfie Starr","1908-01-01T00:00:00+02:00","1908-07-22","male","{Manitoba|Saint Boniface Winnipeg|Canada}",1908-07-22
"124","D'Arcy Coulson","1908-01-01T00:00:00+02:00","1908-02-17","male","{Ontario|Canada|Greater Sudbury}",1908-02-17
"125","Jack Howard (ice hockey)","1909-01-01T00:00:00+02:00","1909-10-15","male","{Ontario|London Ontario|Canada}",1909-10-15
"126","Hal Picketts","1909-01-01T00:00:00+02:00","1909-04-22","male","{Saskatchewan|Canada|Asquith Saskatchewan}",1909-04-22
"127","Des Roche","1909-01-01T00:00:00+02:00","1909-02-01","male","{Ontario|Canada|Kemptville}",1909-02-01
"128","Art Coulter","1909-01-01T00:00:00+02:00","1909-05-31","male","{Manitoba|Winnipeg|Canada}",1909-05-31
"129","Al Huggins","1909-01-01T00:00:00+02:00","1909-12-21","male","{Ontario|Toronto|Canada}",1909-12-21
"130","Dave Downie","1909-01-01T00:00:00+02:00","1909-03-11","male","{Ontario|Burk's Falls Ontario|Canada}",1909-03-11
"131","Dave Kerr","1909-01-01T00:00:00+02:00","1909-01-11","","{Ontario|Toronto|Canada}",1909-01-11
"132","Bert Connelly","1909-01-01T00:00:00+02:00","1909-04-22","male","{Canada|Montreal|Quebec}",1909-04-22
"133","Bill Beveridge","1909-01-01T00:00:00+02:00","1909-07-01","","{Ontario|Ottawa|Canada}",1909-07-01
"134","Wally Kilrea","1909-01-01T00:00:00+02:00","1909-02-18","male","{Ontario|Ottawa|Canada}",1909-02-18
"135","Walter McCartney","1909-01-01T00:00:00+02:00","1909-04-26","male","{Saskatchewan|Canada|Weyburn}",1909-04-26
"136","Charlie Conacher","1909-01-01T00:00:00+02:00","1909-12-20","male","{Ontario|Toronto|Canada}",1909-12-20
"137","Keith Campbell (ice hockey)","1909-01-01T00:00:00+02:00","1909-09-21","male","{Ontario|Canada}",1909-09-21
"138","Jack Leswick","1910-01-01T00:00:00+02:00","1910-01-01","","{Saskatchewan|Canada|Humboldt Saskatchewan}",1910-01-01
"139","Gord Reid (ice hockey)","1910-01-01T00:00:00+02:00","1910-02-19","male","{Ontario|Mount Albert Ontario|Canada}",1910-02-19
"140","Earl Roche","1910-01-01T00:00:00+02:00","1910-02-22","male","{Ontario|Prescott Ontario|Canada}",1910-02-22
"141","Ehrhardt Heller","1910-01-01T00:00:00+02:00","1910-06-02","","{Ontario|Kitchener Ontario|Canada}",1910-06-02
"142","Joe Beaton","1910-01-01T00:00:00+02:00","1910-06-18","","{Nova Scotia|Stellarton|Canada}",1910-06-18
"143","Aubrey Webster","1910-01-01T00:00:00+02:00","1910-09-25","","{Ontario|Kenora|Canada}",1910-09-25
"144","Red Spooner","1910-01-01T00:00:00+02:00","1910-08-24","","{Ontario|Port Arthur Ontario|Canada}",1910-08-24
"145","Dede Klein","1910-01-01T00:00:00+02:00","1910-01-13","male","{Saskatchewan|Saskatoon|Canada}",1910-01-13
"146","Gerry Shannon","1910-01-01T00:00:00+02:00","1910-10-25","male","{Ontario|Campbellford|Canada}",1910-10-25
"147","Glen Brydson","1910-01-01T00:00:00+02:00","1910-11-07","","{Ontario|Swansea Toronto|Canada}",1910-11-07
"148","Bert Peer","1910-01-01T00:00:00+02:00","1910-11-12","","{Ontario|Canada|Port Credit Ontario}",1910-11-12
"149","Bill Hudson (ice hockey)","1910-01-01T00:00:00+02:00","1910-07-14","male","{Alberta|Canada|Calgary}",1910-07-14
"150","Bill Hutton","1910-01-01T00:00:00+02:00","1910-01-28","","{Alberta|Canada|Calgary}",1910-01-28
"151","Bill Thoms","1910-01-01T00:00:00+02:00","1910-03-05","male","{Ontario|Newmarket Ontario|Canada}",1910-03-05
"152","Bob Gracie","1910-01-01T00:00:00+02:00","1910-11-08","","{Ontario|North Bay Ontario|Canada}",1910-11-08
"153","Lorne Carr","1910-01-01T00:00:00+02:00","1910-07-02","","{Saskatchewan|Canada|Stoughton Saskatchewan}",1910-07-02
"154","Norman Collings","1910-01-01T00:00:00+02:00","1910-05-06","male","{Ontario|Canada|Bradford Ontario}",1910-05-06
"155","Ellis Pringle","1911-01-01T00:00:00+02:00","1911-08-31","male","{Ontario|Toronto|Canada}",1911-08-31
"156","Thomas Coulter (ice hockey)","1911-01-01T00:00:00+02:00","1911-04-21","male","{Manitoba|Winnipeg|Canada}",1911-04-21
"157","Gordon Dailley","1911-01-01T00:00:00+02:00","1911-07-24","male","Canada",1911-07-24
"158","George Abbott (ice hockey)","1911-01-01T00:00:00+02:00","1911-08-03","male","{Ontario|South Frontenac Ontario|Canada|Sydenham Ontario}",1911-08-03
"159","Tommy Ivan","1911-01-01T00:00:00+02:00","1911-01-31","male","{Ontario|Toronto|Canada}",1911-01-31
"160","Earl Seibert","1911-01-01T00:00:00+02:00","1911-12-07","","{Ontario|Kitchener Ontario|Canada}",1911-12-07
"161","Eddie Ouellette","1911-01-01T00:00:00+02:00","1911-03-09","","{Ontario|Ottawa|Canada}",1911-03-09
"162","Eddie Wiseman","1911-01-01T00:00:00+02:00","1911-12-28","male","{New Brunswick|Canada|Newcastle New Brunswick}",1911-12-28
"163","Ralph Bowman","1911-01-01T00:00:00+02:00","1911-06-20","","{Manitoba|Winnipeg|Canada}",1911-06-20
"164","Teddy Saunders","1911-01-01T00:00:00+02:00","1911-08-29","male","{Ontario|Ottawa|Canada}",1911-08-29
"165","Bobby Lee (ice hockey)","1911-01-01T00:00:00+02:00","1911-12-28","","{Verdun Quebec|Canada|Quebec}",1911-12-28
"166","Busher Jackson","1911-01-01T00:00:00+02:00","1911-01-17","male","{Ontario|Toronto|Canada}",1911-01-17
"167","Buzz Boll","1911-01-01T00:00:00+02:00","1911-03-06","male","{Ontario|Saskatchewan|Fillmore Saskatchewan|Canada|Orangeville Ontario}",1911-03-06
"168","Jean Bourcier","1911-01-01T00:00:00+02:00","1911-01-03","","{Canada|Montreal|Quebec}",1911-01-03
"169","Flash Hollett","1911-01-01T00:00:00+02:00","1911-04-13","","{Nova Scotia|Canada|North Sydney Nova Scotia}",1911-04-13
"170","Nels Crutchfield","1911-01-01T00:00:00+02:00","1911-07-12","male","{Brome Lake Quebec|Canada|Quebec}",1911-07-12
"171","Charlie Sands (ice hockey)","1911-01-01T00:00:00+02:00","1911-05-23","","{Ontario|Canada|Fort William Ontario}",1911-05-23
"172","Toe Blake","1912-01-01T00:00:00+02:00","1912-08-21","male","{Ontario|Walden Ontario|Canada}",1912-08-21
"173","Lynn Patrick","1912-01-01T00:00:00+02:00","1912-02-03","male","{British Columbia|Victoria British Columbia|Canada}",1912-02-03
"174","Harvey Stapleford","1912-01-01T00:00:00+02:00","1912-02-25","male","{Ontario|Canada|Warwick Ontario}",1912-02-25
"175","Henry Dyck","1912-01-01T00:00:00+02:00","1912-09-05","","{Saskatchewan|Saskatoon|Canada}",1912-09-05
"176","Herb Cain","1912-01-01T00:00:00+02:00","1912-12-24","","{Ontario|Newmarket Ontario|Canada}",1912-12-24
"177","Red Anderson (ice hockey)","1912-01-01T00:00:00+02:00","1912-12-13","male","{Ontario|Tillsonburg|Canada}",1912-12-13
"178","George Brown (ice hockey)","1912-01-01T00:00:00+02:00","1912-05-17","male","{Manitoba|Winnipeg|Canada}",1912-05-17
"179","Bill Cowley","1912-01-01T00:00:00+02:00","1912-06-12","","{Bristol Quebec|Canada|Quebec}",1912-06-12
"180","Bob Davidson (ice hockey)","1912-01-01T00:00:00+02:00","1912-02-10","","{Ontario|Toronto|Canada}",1912-02-10
"181","Walt Farrant","1912-01-01T00:00:00+02:00","1912-08-12","","{Ontario|Toronto|Canada}",1912-08-12
"182","Max Bennett (ice hockey)","1912-01-01T00:00:00+02:00","1912-11-04","","{Ontario|Cobalt Ontario|Canada}",1912-11-04
"183","Ken Stewart (ice hockey)","1912-01-01T00:00:00+02:00","1912-03-29","male","{Ontario|Port Arthur Ontario|Canada}",1912-03-29
"184","Kenneth Farmer","1912-01-01T00:00:00+02:00","1912-09-26","","{Canada|Westmount Quebec|Quebec}",1912-09-26
"185","Jack Forsey","1913-01-01T00:00:00+02:00","1913-11-17","","{Saskatchewan|Swift Current|Canada}",1913-11-17
"186","Gordie Drillon","1913-01-01T00:00:00+02:00","1913-10-23","male","{Moncton|New Brunswick|Canada}",1913-10-23
"187","Don Deacon","1913-01-01T00:00:00+02:00","1913-06-02","male","{Canada|Shawinigan|Quebec}",1913-06-02
"188","Don Willson","1913-01-01T00:00:00+02:00","1913-01-13","male","{Ontario|Chatham-Kent|Canada}",1913-01-13
"189","Phil Bessler","1913-01-01T00:00:00+02:00","1913-12-09","male","{Saskatchewan|Canada|Melville Saskatchewan}",1913-12-09
"190","Phil Stein","1913-01-01T00:00:00+02:00","1913-09-13","","{Ontario|Toronto|Canada}",1913-09-13
"191","Nakina Smith","1913-01-01T00:00:00+02:00","1913-07-26","","{Ontario|West Nipissing|Canada}",1913-07-26
"192","Bert Gardiner","1913-01-01T00:00:00+02:00","1913-03-25","male","{Saskatchewan|Saskatoon|Canada}",1913-03-25
"193","Bryan Hextall","1913-01-01T00:00:00+02:00","1913-07-31","male","{Saskatchewan|Grenfell Saskatchewan|Canada}",1913-07-31
"194","Les Cunningham","1913-01-01T00:00:00+02:00","1913-10-04","male","{Alberta|Canada|Calgary}",1913-10-04
"195","Clint Smith","1913-01-01T00:00:00+02:00","1913-12-12","male","{Saskatchewan|Canada|Assiniboia Saskatchewan}",1913-12-12
"196","Irv McGibbon","1914-01-01T00:00:00+02:00","1914-10-11","","{Nova Scotia|Antigonish Nova Scotia|Canada}",1914-10-11
"197","Gordon Poirier","1914-01-01T00:00:00+02:00","1914-10-27","male","{Saskatchewan|Canada|Maple Creek Saskatchewan}",1914-10-27
"198","Gus Mancuso (ice hockey)","1914-01-01T00:00:00+02:00","1914-04-11","","{Ontario|Niagara Falls Ontario|Canada}",1914-04-11
"199","George Allen (ice hockey)","1914-01-01T00:00:00+02:00","1914-07-27","","{New Brunswick|Canada|Bayfield New Brunswick}",1914-07-27
"200","Patsy Guzzo","1914-01-01T00:00:00+02:00","1914-10-14","male","{Ontario|Ottawa|Canada}",1914-10-14
"201","Des Smith (ice hockey)","1914-01-01T00:00:00+02:00","1914-02-22","male","{Ontario|Ottawa|Canada}",1914-02-22
"202","Turk Broda","1914-01-01T00:00:00+02:00","1914-05-15","","{Manitoba|Brandon Manitoba|Canada}",1914-05-15
"203","Joe Cooper (ice hockey)","1914-01-01T00:00:00+02:00","1914-12-14","male","{Manitoba|Winnipeg|Canada}",1914-12-14
"204","Ray Getliffe","1914-01-01T00:00:00+02:00","1914-04-03","male","{Ontario|Cambridge Ontario|Canada}",1914-04-03
"205","Reg Bentley","1914-01-01T00:00:00+02:00","1914-05-03","male","{Saskatchewan|Canada|Delisle Saskatchewan}",1914-05-03
"206","Phil Hergesheimer","1914-01-01T00:00:00+02:00","1914-07-09","","{Manitoba|Winnipeg|Canada}",1914-07-09
"207","Alex Shibicky","1914-01-01T00:00:00+02:00","1914-05-19","male","{Manitoba|Winnipeg|Canada}",1914-05-19
"208","George McNeil (ice hockey)","1914-01-01T00:00:00+02:00","1914-07-26","male","{Nova Scotia|Canada}",1914-07-26
"209","Gerry Davey","1914-01-01T00:00:00+02:00","1914-09-05","male","{Ontario|Port Arthur Ontario|Canada}",1914-09-05
"210","Mud Bruneteau","1914-01-01T00:00:00+02:00","1914-11-28","male","{Manitoba|Saint Boniface Winnipeg|Canada}",1914-11-28
"211","Bob McCulley","1914-01-01T00:00:00+02:00","1914-02-08","","{Ontario|Canada|Stratford Ontario}",1914-02-08
"212","Jimmy Franks (ice hockey)","1914-01-01T00:00:00+02:00","1914-11-08","male","{Saskatchewan|Canada|Melville Saskatchewan}",1914-11-08
"213","Lionel Bouvrette","1914-01-01T00:00:00+02:00","1914-06-10","","{Ontario|Canada|Hawkesbury Ontario}",1914-06-10
"214","Maurice Courteau","1914-01-01T00:00:00+02:00","1914-02-18","male","{Quebec City|Canada|Quebec}",1914-02-18
